habitant_id,station,niveau_risque,condamne
H-1478,Mecha,1,0
H-1989,Go-Sci,3,0
H-2189,Hydra,4,0
H-1491,Mecha,4,1
H-1966,Go-Sci,1,1
H-1542,Mecha,5,0
H-1048,Alpha,2,0
H-2122,Hydra,1,0
H-2140,Hydra,5,0
H-1856,Go-Sci,4,0
H-1374,Factory,5,0
H-1172,Alpha,4,0
H-1020,Alpha,3,0
H-1628,Agro,4,0
H-2137,Hydra,5,0
H-2382,Arrow,4,0
H-1206,Factory,5,0
H-1067,Alpha,5,0
H-1926,Go-Sci,3,0
H-1594,Mecha,4,0
H-2229,Arrow,4,0
H-1294,Factory,3,1
H-1329,Factory,5,0
H-1009,Alpha,5,0
H-1562,Mecha,2,1
H-1525,Mecha,4,0
H-2129,Hydra,2,1
H-1703,Agro,5,0
H-2380,Arrow,4,0
H-2363,Arrow,3,1
H-2161,Hydra,5,0
H-2197,Hydra,1,0
H-1834,Go-Sci,2,0
H-2178,Hydra,2,0
H-2182,Hydra,3,1
H-2111,Hydra,4,0
H-2101,Hydra,5,0
H-1494,Mecha,4,0
H-2016,Hydra,4,0
H-1255,Factory,5,1
H-2348,Arrow,4,0
H-1573,Mecha,5,1
H-1100,Alpha,1,1
H-1845,Go-Sci,1,1
H-1541,Mecha,5,0
H-1517,Mecha,1,0
H-2381,Arrow,1,0
H-1956,Go-Sci,3,1
H-1726,Agro,1,1
H-1961,Go-Sci,2,0
H-1887,Go-Sci,1,1
H-1986,Go-Sci,4,0
H-1616,Agro,5,0
H-1311,Factory,1,0
H-2176,Hydra,3,0
H-2285,Arrow,4,0
H-1643,Agro,5,0
H-1692,Agro,4,0
H-1505,Mecha,1,0
H-1903,Go-Sci,5,0
H-1108,Alpha,4,0
H-1308,Factory,2,0
H-2357,Arrow,2,0
H-1882,Go-Sci,2,0
H-1622,Agro,3,0
H-1287,Factory,3,0
H-1119,Alpha,2,0
H-1963,Go-Sci,3,0
H-1747,Agro,2,0
H-1238,Factory,1,0
H-2032,Hydra,4,0
H-1764,Agro,2,0
H-1681,Agro,5,1
H-2198,Hydra,3,0
H-1352,Factory,5,1
H-1934,Go-Sci,5,0
H-1624,Agro,4,0
H-1062,Alpha,5,0
H-1160,Alpha,4,0
H-1993,Go-Sci,5,0
H-1848,Go-Sci,4,0
H-2017,Hydra,2,0
H-2025,Hydra,2,0
H-1825,Go-Sci,1,0
H-2002,Hydra,4,0
H-1717,Agro,2,0
H-2051,Hydra,2,0
H-1904,Go-Sci,1,0
H-1546,Mecha,3,0
H-1404,Mecha,5,0
H-1442,Mecha,2,1
H-1945,Go-Sci,2,0
H-1482,Mecha,5,0
H-1092,Alpha,2,0
H-1507,Mecha,1,1
H-1504,Mecha,5,0
H-2096,Hydra,5,0
H-2131,Hydra,1,0
H-1271,Factory,2,0
H-1612,Agro,4,0
H-1774,Agro,3,0
H-2378,Arrow,4,1
H-1485,Mecha,1,0
H-1209,Factory,1,0
H-1791,Agro,4,0
H-1818,Go-Sci,4,1
H-2172,Hydra,2,0
H-2023,Hydra,2,0
H-1927,Go-Sci,1,0
H-2218,Arrow,4,0
H-1523,Mecha,3,0
H-1419,Mecha,4,0
H-2112,Hydra,3,1
H-1676,Agro,5,0
H-2163,Hydra,3,0
H-1630,Agro,4,0
H-2033,Hydra,4,0
H-2070,Hydra,5,0
H-1196,Alpha,3,0
H-1310,Factory,4,0
H-2013,Hydra,5,1
H-2310,Arrow,4,0
H-1163,Alpha,5,0
H-2003,Hydra,1,0
H-1139,Alpha,1,0
H-2247,Arrow,4,0
H-1526,Mecha,4,0
H-1647,Agro,2,0
H-1646,Agro,4,0
H-2397,Arrow,4,0
H-1708,Agro,4,0
H-1249,Factory,4,0
H-2294,Arrow,3,0
H-1674,Agro,2,0
H-1571,Mecha,3,0
H-2082,Hydra,4,0
H-1810,Go-Sci,3,0
H-2257,Arrow,2,0
H-1392,Factory,4,0
H-1830,Go-Sci,5,0
H-1298,Factory,3,0
H-1924,Go-Sci,2,0
H-1201,Factory,5,1
H-1894,Go-Sci,2,0
H-1367,Factory,1,1
H-2168,Hydra,5,0
H-2224,Arrow,3,0
H-1521,Mecha,2,1
H-1593,Mecha,3,0
H-2205,Arrow,2,0
H-2222,Arrow,2,0
H-2277,Arrow,2,0
H-1472,Mecha,1,0
H-1827,Go-Sci,4,0
H-1898,Go-Sci,1,0
H-1859,Go-Sci,4,0
H-1253,Factory,4,0
H-1780,Agro,3,0
H-1381,Factory,5,1
H-1239,Factory,2,0
H-1150,Alpha,2,0
H-2042,Hydra,5,0
H-2123,Hydra,1,0
H-1362,Factory,5,0
H-2145,Hydra,5,0
H-1047,Alpha,3,0
H-2029,Hydra,5,0
H-2288,Arrow,2,0
H-1246,Factory,2,0
H-1140,Alpha,1,1
H-2179,Hydra,5,0
H-1064,Alpha,4,0
H-1861,Go-Sci,4,0
H-1354,Factory,5,0
H-1902,Go-Sci,4,0
H-2270,Arrow,1,0
H-1112,Alpha,5,0
H-2325,Arrow,4,0
H-1167,Alpha,4,0
H-1937,Go-Sci,4,0
H-1835,Go-Sci,3,0
H-1721,Agro,4,0
H-2148,Hydra,2,0
H-1186,Alpha,4,0
H-1828,Go-Sci,1,0
H-1831,Go-Sci,5,0
H-1578,Mecha,3,0
H-1576,Mecha,3,0
H-1030,Alpha,4,0
H-2234,Arrow,4,0
H-1124,Alpha,2,1
H-1260,Factory,4,0
H-1586,Mecha,2,0
H-2142,Hydra,3,0
H-1495,Mecha,2,0
H-2201,Arrow,3,0
H-1351,Factory,3,1
H-1120,Alpha,1,0
H-2064,Hydra,1,0
H-1182,Alpha,3,0
H-1832,Go-Sci,2,0
H-1778,Agro,1,0
H-1838,Go-Sci,3,1
H-1756,Agro,1,0
H-1724,Agro,5,0
H-2177,Hydra,4,0
H-2156,Hydra,2,0
H-2117,Hydra,2,0
H-1215,Factory,4,0
H-1078,Alpha,2,0
H-1498,Mecha,1,0
H-1075,Alpha,1,0
H-1691,Agro,4,1
H-2038,Hydra,4,0
H-2336,Arrow,2,0
H-1999,Go-Sci,2,0
H-1608,Agro,1,0
H-2193,Hydra,4,0
H-1798,Agro,5,1
H-1506,Mecha,3,1
H-1745,Agro,1,0
H-1892,Go-Sci,2,0
H-1833,Go-Sci,5,0
H-1268,Factory,2,0
H-2019,Hydra,2,1
H-1783,Agro,3,0
H-1109,Alpha,5,0
H-1125,Alpha,1,0
H-1470,Mecha,1,0
H-1113,Alpha,5,0
H-2358,Arrow,4,0
H-1801,Go-Sci,4,0
H-2283,Arrow,2,0
H-1084,Alpha,3,0
H-2276,Arrow,2,0
H-1605,Agro,4,1
H-1588,Mecha,4,0
H-1387,Factory,2,0
H-1251,Factory,3,0
H-2320,Arrow,3,1
H-1198,Alpha,2,0
H-1765,Agro,3,1
H-2153,Hydra,2,0
H-1245,Factory,4,0
H-2303,Arrow,1,0
H-1366,Factory,1,0
H-2226,Arrow,4,0
H-2040,Hydra,1,0
H-2104,Hydra,2,0
H-1991,Go-Sci,4,0
H-2246,Arrow,3,0
H-2073,Hydra,5,0
H-1028,Alpha,2,0
H-1935,Go-Sci,4,0
H-1011,Alpha,3,0
H-1651,Agro,4,0
H-1620,Agro,5,0
H-2231,Arrow,3,0
H-1843,Go-Sci,5,0
H-2213,Arrow,2,0
H-1330,Factory,4,1
H-1596,Mecha,4,0
H-1677,Agro,1,0
H-1266,Factory,2,0
H-1401,Mecha,3,0
H-1121,Alpha,2,0
H-1516,Mecha,5,0
H-1129,Alpha,2,0
H-1666,Agro,4,0
H-1236,Factory,3,0
H-1670,Agro,1,0
H-1851,Go-Sci,2,0
H-1529,Mecha,2,0
H-1710,Agro,2,0
H-1412,Mecha,3,0
H-1177,Alpha,4,0
H-1399,Factory,3,1
H-1131,Alpha,5,0
H-1439,Mecha,1,0
H-1591,Mecha,2,0
H-1052,Alpha,5,0
H-1402,Mecha,2,1
H-1197,Alpha,4,0
H-2167,Hydra,1,0
H-1569,Mecha,4,0
H-1938,Go-Sci,2,0
H-1797,Agro,1,0
H-1585,Mecha,1,1
H-2379,Arrow,1,1
H-1684,Agro,3,0
H-1325,Factory,4,0
H-1614,Agro,4,0
H-1531,Mecha,2,1
H-2037,Hydra,3,0
H-2105,Hydra,1,0
H-1026,Alpha,3,0
H-1929,Go-Sci,4,0
H-2058,Hydra,1,0
H-2077,Hydra,3,0
H-2187,Hydra,5,0
H-1247,Factory,4,0
H-1424,Mecha,1,0
H-2138,Hydra,4,0
H-2266,Arrow,2,0
H-1274,Factory,1,0
H-1668,Agro,2,0
H-1519,Mecha,2,0
H-1229,Factory,5,0
H-1383,Factory,4,0
H-2387,Arrow,2,1
H-1405,Mecha,5,0
H-2319,Arrow,2,0
H-1475,Mecha,3,0
H-1359,Factory,5,1
H-1704,Agro,3,0
H-1480,Mecha,1,0
H-1200,Factory,4,1
H-1992,Go-Sci,3,1
H-1672,Agro,3,0
H-1564,Mecha,2,0
H-1813,Go-Sci,3,0
H-2164,Hydra,2,0
H-1996,Go-Sci,3,0
H-1714,Agro,1,1
H-2175,Hydra,1,0
H-1033,Alpha,5,0
H-1595,Mecha,2,1
H-2000,Hydra,3,0
H-1454,Mecha,2,0
H-1648,Agro,4,0
H-1102,Alpha,4,0
H-1557,Mecha,5,0
H-1949,Go-Sci,5,1
H-2265,Arrow,3,0
H-2256,Arrow,4,0
H-1421,Mecha,5,0
H-1741,Agro,2,0
H-2372,Arrow,4,1
H-2180,Hydra,2,0
H-1106,Alpha,4,0
H-1919,Go-Sci,1,0
H-1101,Alpha,1,0
H-1884,Go-Sci,4,0
H-2230,Arrow,2,0
H-2169,Hydra,3,0
H-2306,Arrow,3,0
H-1291,Factory,5,0
H-1390,Factory,5,0
H-2384,Arrow,5,1
H-2046,Hydra,2,0
H-1166,Alpha,4,0
H-1609,Agro,3,0
H-1566,Mecha,3,0
H-1181,Alpha,1,0
H-2225,Arrow,1,0
H-1767,Agro,5,0
H-1734,Agro,4,0
H-1785,Agro,4,0
H-1730,Agro,3,0
H-1343,Factory,5,0
H-2061,Hydra,3,1
H-1436,Mecha,1,0
H-2192,Hydra,4,0
H-1689,Agro,2,0
H-2298,Arrow,4,0
H-1420,Mecha,3,0
H-1871,Go-Sci,2,0
H-1466,Mecha,4,0
H-2316,Arrow,1,0
H-1732,Agro,5,0
H-1127,Alpha,4,0
H-1998,Go-Sci,3,0
H-1314,Factory,3,0
H-2204,Arrow,4,0
H-1016,Alpha,4,0
H-1988,Go-Sci,5,0
H-1379,Factory,3,1
H-1736,Agro,2,0
H-2155,Hydra,3,1
H-1695,Agro,2,0
H-1195,Alpha,4,0
H-1214,Factory,1,1
H-1356,Factory,2,0
H-1221,Factory,5,1
H-2297,Arrow,3,0
H-1802,Go-Sci,2,0
H-2345,Arrow,3,1
H-1559,Mecha,1,0
H-2190,Hydra,2,1
H-2355,Arrow,5,0
H-1192,Alpha,2,0
H-1223,Factory,3,1
H-1037,Alpha,2,0
H-2280,Arrow,4,0
H-2232,Arrow,4,0
H-1654,Agro,1,0
H-2118,Hydra,2,1
H-1649,Agro,1,0
H-1128,Alpha,2,0
H-1461,Mecha,5,0
H-1003,Alpha,2,0
H-1533,Mecha,1,0
H-2053,Hydra,4,0
H-2141,Hydra,4,1
H-2006,Hydra,3,0
H-1116,Alpha,3,0
H-1737,Agro,5,0
H-1511,Mecha,5,0
H-2114,Hydra,1,0
H-1469,Mecha,5,1
H-1154,Alpha,1,1
H-1014,Alpha,5,1
H-1823,Go-Sci,2,0
H-1680,Agro,3,0
H-1331,Factory,4,1
H-1148,Alpha,5,1
H-1631,Agro,5,1
H-1592,Mecha,4,0
H-2209,Arrow,1,0
H-2143,Hydra,5,1
H-1079,Alpha,4,0
H-1763,Agro,4,0
H-1611,Agro,4,0
H-2159,Hydra,5,0
H-1010,Alpha,2,1
H-2052,Hydra,4,0
H-1584,Mecha,2,0
H-1709,Agro,3,0
H-2312,Arrow,3,0
H-1447,Mecha,1,0
H-2327,Arrow,3,0
H-1965,Go-Sci,4,0
H-1705,Agro,5,0
H-2263,Arrow,3,0
H-1486,Mecha,1,0
H-1493,Mecha,5,1
H-1775,Agro,4,0
H-2095,Hydra,5,0
H-1203,Factory,1,1
H-1168,Alpha,4,1
H-2186,Hydra,5,0
H-1822,Go-Sci,4,1
H-1438,Mecha,4,0
H-1094,Alpha,1,0
H-1794,Agro,3,1
H-2072,Hydra,1,1
H-1265,Factory,2,0
H-1844,Go-Sci,4,0
H-1219,Factory,5,0
H-1537,Mecha,4,0
H-1429,Mecha,3,0
H-2220,Arrow,1,0
H-1944,Go-Sci,4,1
H-1305,Factory,1,0
H-1083,Alpha,3,0
H-2254,Arrow,4,0
H-1280,Factory,5,0
H-1070,Alpha,3,0
H-1145,Alpha,4,0
H-2323,Arrow,5,0
H-1180,Alpha,5,1
H-1650,Agro,5,0
H-1258,Factory,3,0
H-1276,Factory,4,0
H-2039,Hydra,2,0
H-1700,Agro,4,0
H-1776,Agro,2,0
H-1023,Alpha,4,0
H-1216,Factory,3,0
H-1055,Alpha,5,0
H-1806,Go-Sci,3,0
H-1899,Go-Sci,1,1
H-1440,Mecha,2,0
H-1370,Factory,1,1
H-1063,Alpha,4,0
H-1389,Factory,1,0
H-1943,Go-Sci,2,0
H-1615,Agro,4,0
H-2329,Arrow,3,0
H-1581,Mecha,4,0
H-2386,Arrow,1,0
H-2041,Hydra,1,0
H-2184,Hydra,3,1
H-1149,Alpha,2,1
H-2144,Hydra,3,1
H-2048,Hydra,2,0
H-1558,Mecha,5,0
H-1039,Alpha,5,0
H-1920,Go-Sci,5,0
H-2132,Hydra,2,0
H-2337,Arrow,3,0
H-2366,Arrow,2,0
H-2001,Hydra,4,1
H-2217,Arrow,4,0
H-2274,Arrow,2,0
H-1497,Mecha,5,0
H-1618,Agro,3,1
H-2370,Arrow,2,0
H-1324,Factory,4,1
H-2034,Hydra,2,1
H-1336,Factory,5,0
H-1411,Mecha,1,0
H-2273,Arrow,2,0
H-1443,Mecha,3,0
H-2271,Arrow,5,0
H-1406,Mecha,3,0
H-2116,Hydra,5,0
H-1749,Agro,5,0
H-1184,Alpha,4,0
H-1087,Alpha,4,0
H-2055,Hydra,5,0
H-1476,Mecha,1,0
H-1837,Go-Sci,4,0
H-2241,Arrow,3,0
H-1657,Agro,4,0
H-1479,Mecha,4,0
H-1477,Mecha,2,0
H-1357,Factory,5,0
H-2060,Hydra,4,0
H-2200,Arrow,5,1
H-1473,Mecha,1,0
H-1397,Factory,5,0
H-1228,Factory,4,0
H-1074,Alpha,1,0
H-1408,Mecha,4,0
H-1583,Mecha,4,1
H-1162,Alpha,5,0
H-2036,Hydra,1,1
H-1951,Go-Sci,2,0
H-1107,Alpha,4,0
H-2062,Hydra,4,0
H-1008,Alpha,3,0
H-1574,Mecha,3,0
H-1840,Go-Sci,3,0
H-1716,Agro,5,0
H-1250,Factory,1,0
H-2311,Arrow,2,1
H-1758,Agro,1,0
H-1058,Alpha,1,0
H-1659,Agro,1,1
H-2291,Arrow,4,1
H-2238,Arrow,1,0
H-1987,Go-Sci,5,0
H-1269,Factory,4,1
H-1460,Mecha,3,0
H-1518,Mecha,5,0
H-2389,Arrow,3,0
H-1982,Go-Sci,1,0
H-1085,Alpha,5,0
H-1382,Factory,1,0
H-1915,Go-Sci,5,0
H-1639,Agro,2,1
H-1865,Go-Sci,1,1
H-2330,Arrow,3,0
H-1375,Factory,4,0
H-2317,Arrow,1,1
H-2154,Hydra,2,0
H-1696,Agro,2,0
H-1634,Agro,5,0
H-2202,Arrow,1,0
H-1418,Mecha,4,0
H-1410,Mecha,4,0
H-2121,Hydra,3,0
H-1879,Go-Sci,1,0
H-1908,Go-Sci,2,0
H-1946,Go-Sci,5,0
H-2287,Arrow,5,0
H-1582,Mecha,1,0
H-1126,Alpha,2,1
H-1143,Alpha,4,0
H-1665,Agro,5,0
H-1452,Mecha,3,0
H-1781,Agro,1,0
H-1262,Factory,4,0
H-1484,Mecha,1,1
H-1264,Factory,4,0
H-2394,Arrow,1,1
H-1790,Agro,2,0
H-1727,Agro,3,0
H-1183,Alpha,4,0
H-1072,Alpha,1,0
H-2085,Hydra,5,0
H-2331,Arrow,3,0
H-2385,Arrow,5,0
H-1590,Mecha,2,0
H-2099,Hydra,1,0
H-1069,Alpha,3,0
H-1984,Go-Sci,5,0
H-2183,Hydra,2,0
H-2206,Arrow,2,1
H-2074,Hydra,5,0
H-2076,Hydra,4,1
H-1096,Alpha,3,0
H-1510,Mecha,3,0
H-2267,Arrow,4,1
H-1916,Go-Sci,3,0
H-1800,Go-Sci,2,0
H-1816,Go-Sci,2,0
H-2307,Arrow,3,0
H-1560,Mecha,4,0
H-2245,Arrow,1,0
H-1891,Go-Sci,4,0
H-2160,Hydra,2,0
H-1146,Alpha,1,0
H-1015,Alpha,2,0
H-2279,Arrow,2,1
H-2005,Hydra,3,0
H-2356,Arrow,2,0
H-1642,Agro,5,1
H-1580,Mecha,1,1
H-2188,Hydra,2,0
H-1076,Alpha,4,0
H-2376,Arrow,3,0
H-1625,Agro,3,0
H-2049,Hydra,1,0
H-1244,Factory,1,0
H-1396,Factory,1,0
H-1699,Agro,4,0
H-1792,Agro,2,0
H-1729,Agro,3,1
H-1912,Go-Sci,5,0
H-1040,Alpha,5,0
H-1441,Mecha,2,1
H-1876,Go-Sci,5,0
H-1638,Agro,2,0
H-1368,Factory,5,0
H-2165,Hydra,5,1
H-2216,Arrow,2,0
H-1134,Alpha,3,0
H-1804,Go-Sci,2,0
H-2369,Arrow,1,0
H-1349,Factory,1,0
H-1967,Go-Sci,3,0
H-1952,Go-Sci,2,1
H-1535,Mecha,3,0
H-1667,Agro,1,0
H-1623,Agro,1,1
H-1746,Agro,2,0
H-2147,Hydra,5,0
H-1513,Mecha,1,0
H-1164,Alpha,3,0
H-2240,Arrow,2,0
H-2150,Hydra,1,0
H-1144,Alpha,4,0
H-1669,Agro,2,0
H-1697,Agro,2,1
H-2009,Hydra,4,0
H-1220,Factory,5,0
H-2318,Arrow,3,1
H-2353,Arrow,1,0
H-1735,Agro,2,1
H-1975,Go-Sci,1,0
H-1095,Alpha,5,1
H-1640,Agro,3,0
H-1906,Go-Sci,2,0
H-2364,Arrow,3,0
H-2308,Arrow,3,0
H-1698,Agro,3,1
H-1155,Alpha,3,1
H-1165,Alpha,1,0
H-1297,Factory,3,1
H-1038,Alpha,4,1
H-1872,Go-Sci,2,0
H-1889,Go-Sci,3,1
H-1600,Agro,4,0
H-1488,Mecha,1,0
H-1391,Factory,3,1
H-1815,Go-Sci,4,0
H-1601,Agro,2,0
H-2275,Arrow,5,0
